-,-,-
165,-72,1046
313,-176,943
176,-258,895
152,-217,873
187,-237,835
278,-293,772
360,-451,698
428,-581,614
485,-680,546
543,-756,466
541,-808,424
535,-851,384
553,-875,426
622,-757,485
654,-578,613
713,-343,741
691,-21,906
661,49,1010
670,104,1111
601,264,1174
520,446,1264
412,630,1292
329,781,1372
317,864,1444
283,929,1462
235,889,1395
207,894,1368
208,893,1324
215,907,1274
251,871,1168
267,785,1032
267,745,894
242,717,739
226,672,637
172,634,495
222,538,384
90,513,318
91,503,301
152,467,306
183,425,324
214,369,336
240,305,360
285,157,400
360,66,522
417,65,682
498,-1,844
639,-23,936
641,-81,1081
713,-116,1194
784,-134,1446
954,-78,1604


-,-,-
38,-401,718
64,-31,728
128,-152,604
73,-272,546
137,-342,431
172,-436,366
294,-525,368
501,-614,405
675,-649,447
771,-619,546
863,-612,667
893,-485,748
940,-462,880
921,-255,972
869,-92,1053
780,92,1149
662,254,1220
573,406,1285
483,547,1358
429,649,1444
390,688,1478
371,807,1494
296,733,1474
295,765,1433
251,731,1392
264,751,1336
231,793,1243
181,746,1119
149,741,1031
152,727,966
133,726,921
117,725,835
111,654,742
151,664,677
122,685,610
117,664,514
111,557,356
107,507,282
89,449,216
120,305,191
159,258,192
187,240,230
227,254,316
323,283,390
423,302,541
505,293,651
515,149,756
636,136,843
702,78,947
795,-11,1052
914,-101,1170


-,-,-
-109,-14,764
-4,-161,481
-63,-400,354
-75,-535,311
-32,-628,232
81,-754,227
197,-819,262
366,-836,309
466,-664,445
658,-711,542
699,-561,691
786,-415,787
771,-263,908
795,-202,957
746,-116,1088
724,18,1173
696,177,1283
673,297,1360
617,430,1455
611,494,1472
586,584,1512
552,707,1545
540,741,1513
524,739,1440
466,752,1376
436,766,1258
413,679,1092
354,668,954
311,663,772
303,678,750
235,660,590
194,609,459
138,583,379
193,567,311
93,556,288
109,589,298
133,519,300
193,409,309
259,321,400
317,282,497
351,254,569
414,189,600
493,132,660
514,130,809
585,65,927
691,13,1057
902,-137,1204


-,-,-
203,-812,447
124,-489,420
69,-553,303
79,-694,305
143,-666,307
200,-603,396
335,-635,482
436,-569,569
529,-578,676
603,-594,745
674,-587,805
699,-380,941
707,-121,1048
698,-109,1077
718,-66,1206
705,15,1277
650,97,1321
578,240,1403
556,420,1481
507,476,1538
477,528,1545
449,562,1536
421,526,1470
375,534,1393
322,569,1316
231,614,1243
162,671,1162
162,630,1062
169,607,988
188,580,911
169,577,835
111,589,738
100,523,596
58,512,490
29,472,409
42,376,312
33,370,292
104,379,298
158,388,321
219,333,350
251,291,369
248,252,420
258,236,470
303,210,559
422,182,732
500,157,883
574,101,942
605,51,1016


-,-,-
236,-401,1105
302,-64,989
241,-50,1056
212,-98,984
201,-175,946
210,-358,891
197,-371,772
167,-491,681
170,-652,540
176,-822,390
175,-892,315
220,-942,298
285,-980,318
319,-851,441
540,-787,563
465,-523,734
555,-260,911
608,27,1087
622,263,1253
589,405,1356
507,521,1396
431,631,1441
375,808,1518
349,846,1535
320,849,1511
298,891,1513
264,926,1505
289,879,1459
320,851,1404
324,831,1356
331,736,1243
335,618,1116
345,382,970
330,408,836
284,374,730
267,348,628
278,262,518
222,203,452
247,132,397
224,94,363
210,78,354
220,80,396
269,57,440
345,32,479
306,54,551
308,51,671
355,72,703
322,38,782
330,88,883


-,-,-
220,-726,252
168,-715,384
233,-674,432
263,-655,412
283,-584,491
342,-467,590
452,-386,734
574,-345,811
644,-355,876
663,-240,978
658,-141,1074
689,-99,1124
671,-9,1168
642,86,1201
623,82,1209
614,73,1211
602,45,1219
617,187,1278
647,264,1357
577,305,1447
585,430,1471
572,480,1458
528,467,1411
479,461,1347
419,488,1295
363,526,1232
270,547,1146
246,580,1112
245,587,1023
204,615,958
162,633,893
147,640,802
162,604,718
155,601,623
127,563,555
100,525,491
123,489,439
174,459,382
143,489,363
130,520,378
222,494,405
240,431,400
248,346,416
324,232,429
388,147,491
431,79,597
561,8,711
691,-61,879
759,-72,1012
727,-166,1084


-,-,-
207,-545,937
362,-571,717
297,-546,670
261,-386,629
256,-447,559
285,-461,510
263,-508,501
280,-427,524
323,-427,538
356,-380,594
422,-342,653
456,-288,743
540,-226,850
565,-96,953
583,-7,1052
602,91,1106
586,177,1165
556,242,1213
521,335,1305
532,493,1361
497,597,1421
464,627,1453
440,712,1464
429,712,1429
401,761,1404
379,767,1349
370,760,1290
343,764,1228
325,754,1170
319,725,1081
293,742,987
266,725,878
244,696,766
223,659,684
198,624,589
180,577,499
153,526,444
153,469,417
201,408,432
252,336,448
268,273,450
283,246,469
304,215,524
338,186,610
347,124,682
361,102,777
413,90,861
525,35,996
529,-90,1048
668,-175,1158
759,-169,1287
774,-181,1343


-,-,-
-12,-744,959
15,-471,711
121,-518,706
187,-717,630
202,-799,499
109,-467,487
132,-500,442
253,-817,427
306,-880,443
404,-831,509
488,-718,610
646,-681,673
555,-514,795
577,-185,929
648,-13,1063
651,118,1103
576,194,1190
467,433,1327
520,469,1367
541,459,1362
503,467,1363
420,521,1353
366,583,1360
346,638,1343
286,709,1338
234,782,1334
227,802,1291
228,784,1219
232,767,1137
205,772,1056
190,761,988
172,731,881
152,659,751
119,675,646
94,660,578
97,633,496
103,644,483
132,620,477
198,552,468
233,495,481
247,427,498
251,313,534
270,146,605
287,142,667
324,64,760
439,-61,877
451,-61,1011
384,-114,1047


-,-,-
0,-497,789
117,-441,500
85,-556,501
244,-826,459
473,-1054,468
733,-1070,606
806,-893,697
891,-864,872
866,-688,815
1054,-668,732
895,-543,807
951,-488,854
986,-297,927
926,25,1105
855,334,1163
755,619,1274
676,786,1337
641,870,1359
534,939,1368
440,1062,1371
360,1125,1350
311,1151,1284
224,1169,1188
129,1221,1129
53,1285,1063
2,1243,965
-11,1189,871
-12,1104,788
-46,1009,671
-44,875,503
-62,798,424
-55,744,345
2,684,303
43,626,291
65,548,294
157,465,244
175,401,371
184,362,295
250,316,362
312,240,412
345,198,489
374,144,566
435,92,656
566,17,769
758,-121,894
755,-257,1110
877,-232,1145
1110,-202,1259


-,-,-
-113,-338,626
100,-379,620
87,-463,637
149,-571,592
221,-948,435
278,-1122,427
420,-1180,435
516,-1119,533
594,-950,616
574,-895,644
648,-824,771
732,-574,813
730,-257,885
743,18,1057
816,106,1174
863,289,1248
854,452,1336
792,643,1438
733,811,1456
654,866,1388
528,934,1323
354,962,1213
268,1045,1130
118,1145,1094
116,1253,1094
91,1195,1033
82,1098,945
99,1074,888
117,1031,833
161,986,793
234,878,720
262,771,638
326,692,560
336,629,516
329,537,439
305,482,398
277,409,355
233,354,354
219,336,387
173,293,497
283,193,533
311,143,650
362,68,764
484,-40,890
529,-91,1033
566,-199,1098
653,-254,1216
657,-222,1294


-,-,-
169,-442,439
151,-320,829
308,-354,733
322,-390,716
339,-511,642
368,-598,608
391,-682,575
437,-720,533
448,-724,553
508,-736,553
560,-778,572
582,-756,646
570,-514,856
612,-244,894
676,-135,980
575,2,1059
522,95,1121
480,276,1193
416,537,1317
394,630,1374
421,591,1368
396,584,1342
330,634,1340
289,741,1332
251,856,1320
219,914,1300
194,948,1271
171,963,1207
165,891,1102
163,868,1010
177,819,937
146,767,849
209,676,748
348,612,691
245,561,620
273,474,538
338,378,482
332,283,441
315,276,451
288,272,454
272,284,482
314,284,515
314,294,576
326,275,662
364,269,732
386,204,798
406,76,822
394,19,923
453,-48,1121
560,-152,1104
690,-229,1160


-,-,-
226,-553,400
213,-480,654
352,-568,605
320,-530,597
289,-616,545
289,-677,507
