-,-,-
181,-559,524
418,-725,549
430,-703,528
330,-687,441
361,-828,461
410,-706,390
295,-611,339
148,-551,319
403,-653,459
586,-568,516
641,-579,619
677,-494,729
632,-379,817
556,-219,889
537,-143,985
542,-26,1103
564,64,1222
514,190,1283
444,266,1344
421,315,1425
406,389,1504
321,512,1590
280,582,1626
276,645,1646
274,709,1673
256,743,1669
237,781,1650
179,821,1589
162,770,1460
153,869,1362
156,731,1211
201,645,1165
247,596,1077
284,538,952
306,513,810
248,534,659
289,434,555
293,427,398
257,454,316
297,431,291
326,413,332
420,387,389
423,356,430
394,302,452
375,199,453
387,166,502
479,162,616
444,4,695
527,57,827
610,7,989
674,-39,1080


-,-,-
251,-414,439
383,-383,600
297,-395,633
282,-458,568
312,-546,550
334,-572,497
275,-661,426
538,-876,381
523,-837,309
511,-768,310
464,-682,273
420,-711,387
499,-551,435
522,-357,535
608,-188,736
691,-99,868
681,42,1016
649,217,1134
648,262,1233
633,369,1280
551,494,1311
454,573,1337
369,680,1379
338,835,1468
310,942,1530
384,984,1590
264,1002,1634
334,1034,1653
352,1057,1653
339,1051,1570
301,987,1426
237,963,1332
206,947,1182
205,872,1007
198,806,839
209,740,725
234,647,572
224,546,453
233,445,321
223,417,264
243,450,265
244,470,252
223,428,226
195,362,268
312,313,304
305,267,345
326,164,395
323,116,510
344,72,651
453,-61,772
583,-213,909
657,-325,1086
750,-310,1248


-,-,-
93,-426,546
138,-372,499
176,-611,356
278,-703,301
253,-600,271
224,-678,202
242,-691,200
299,-618,304
425,-548,374
472,-426,430
645,-387,662
686,-98,808
732,-14,964
784,-1,1031
776,106,1138
765,171,1215
675,215,1276
617,298,1271
562,356,1299
548,429,1350
516,461,1363
527,490,1443
489,647,1497
483,686,1509
498,687,1537
531,691,1546
542,671,1380
507,652,1434
462,566,1308
416,552,1216
345,572,1131
310,549,1070
313,525,1006
332,517,953
351,499,874
364,502,827
316,557,740
282,543,638
233,527,515
263,463,505
321,499,432
291,496,362
235,549,325
188,587,336
200,561,295
150,497,260
105,470,286
135,397,303
231,271,371
309,216,446
403,165,605
517,94,678
533,83,827
658,-44,1075
614,-94,1202


-,-,-
38,-391,575
42,-398,462
50,-380,396
84,-557,297
171,-754,226
266,-771,236
314,-608,235
424,-759,377
540,-630,500
651,-682,637
760,-627,839
836,-462,917
829,-292,1024
805,-174,1108
757,-114,1125
728,-71,1128
636,1,1187
600,177,1295
512,273,1358
431,356,1383
