-,-,-
-50,-29,976
36,-38,411
52,-150,521
4,-231,714
18,-297,790
37,-282,801
37,-200,783
-13,-160,792
-25,-135,880
20,-144,950
92,-208,1082
100,-289,1181
110,-338,1231
85,-395,1281
43,-449,1364
14,-440,1453
35,-257,1511
119,-342,1535
171,-319,1543
137,-286,1554
90,-216,1607
92,-200,1691
150,-162,1770
204,-131,1871
212,-119,1977
204,-119,2097
218,-138,2207
235,-165,2276
258,-172,2311
273,-149,2291
280,-148,2212
246,-142,2141
214,-152,2063
202,-191,1978
177,-204,1859
118,-200,1722
64,-226,1617
19,-226,1496
1,-228,1387
-27,-234,1283
-55,-221,1199
-62,-190,1098
-61,-193,1003
-61,-176,895
-71,-132,789
-83,-108,727
-97,-102,639
-99,-60,560
-68,-23,489
-54,-9,438
-66,21,393
-77,23,381
-95,11,363
-82,30,338
-30,76,302
27,111,264
45,126,223
82,127,208
118,103,208
146,61,195
151,55,178
139,53,177
115,36,183
86,8,184
47,-10,203
30,-29,237
19,-42,270
19,-38,284
13,-33,285
-122,-47,315
-22,-75,354
-40,-86,386
-39,-59,447
-10,-73,567
17,-122,706
56,-147,834
49,-197,898
32,-222,948
-21,-239,1014
-75,-251,1112
-86,-293,1188
-63,-302,1320
-42,-317,1442
-42,-318,1544
-48,-291,1676
-67,-287,1763
-57,-231,1851
-38,-166,1948
5,-142,2090
59,-111,2340
107,-118,2365
119,-105,2450
123,-67,2489
122,-66,2517
135,-55,2539
140,-105,2492
123,-121,2399
90,-125,2265
73,-139,2030
50,-165,2010
18,-205,1836
-28,-246,1675
-87,-265,1532
-142,-295,1419
-213,-306,1264
-246,-281,1105
-297,-264,915
-367,-273,627
-398,-230,576


-,-,-
119,294,849
-18,102,378
-23,-106,548
14,-124,540
6,-120,501
12,-148,477
23,-183,447
0,-185,400
19,-142,329
-57,-173,299
30,-209,350
198,-244,427
-95,-207,461
-30,-244,587
-28,-303,704
-13,-294,793
-36,-288,888
-58,-293,1046
-52,-315,1224
-5,-301,1399
36,-292,1566
53,-237,1722
98,-206,1946
87,-230,2171
68,-240,2338
72,-203,2456
145,-211,2544
224,-146,2597
-261,-16,2628
304,-128,2656
257,-155,2628
247,-148,2524
202,-166,2356
139,-171,2169
85,-149,2029
29,-142,1846
-31,-180,1678
-71,-213,1535
-112,-236,1394
-150,-238,1283
-178,-214,1126
-186,-195,1004
-203,-200,870
-217,-173,765
-211,-97,631
-193,-51,517
-175,-28,424
-148,-1,342
-95,27,279
-51,44,208
-45,38,125
-9,19,66
-6,-6,20
5,-11,-22
23,-15,-62
65,121,-93
107,-1,-80
147,-8,-65
118,-51,-36
106,-56,-17
95,-41,7
60,-44,10
10,-47,28
-14,-38,78
-28,-61,196
-3,-96,321
11,-107,470
57,-125,725
65,-134,737
34,-190,936
-16,-211,1140
16,-243,1359
-110,-225,1521
-77,-217,1777
-54,-198,1985
-35,-148,2229
-22,-162,2397
34,-150,2575
44,-82,2673
97,0,2727
-182,38,2771
232,-20,2783
161,-17,2737
167,3,2653
134,-42,2529
85,-107,2263
33,-113,2154
-41,-137,1930
-83,-142,1742
-115,-188,1543
-161,-184,1405
-196,-149,1212
-205,-126,1042
-198,-121,872
-186,-123,630
-172,-110,572
-218,-47,445


-,-,-
-135,60,806
102,-115,289
18,-73,306
96,-159,365
63,-217,468
-51,-275,574
-48,-332,641
-160,-299,650
40,-222,669
-218,-177,750
-139,-212,965
-72,-239,1155
-18,-291,1265
-27,-305,1408
-109,-305,1561
-181,-310,1679
-221,-297,1801
-191,-288,1923
-114,-279,2100
-62,-268,2273
-40,-267,2418
-28,-267,2474
-25,-229,2511
-355,-157,2491
1,-132,2456
-75,-152,2358
-16,-158,2278
-13,-197,2208
-33,-209,2086
-68,-220,1910
-113,-205,1788
-164,-224,1653
-183,-252,1524
-199,-261,1374
-182,-228,1225
-165,-219,1117
-156,-149,1007
-158,-115,900
-157,-100,799
-153,-54,722
-136,-29,621
-125,-7,533
-142,6,458
-113,-10,377
-101,31,281
-90,76,192
-73,53,144
-30,38,108
-12,44,90
40,69,98
242,36,122
164,0,130
160,13,115
144,17,96
160,57,82
108,-21,99
71,-27,138
61,-35,179
39,-56,241
27,-66,305
31,-89,344
34,-101,392
38,-114,418
7,-125,471
-27,-121,551
-79,-117,654
1,-134,747
-39,-143,852
-40,-176,941
-3,-229,1006
-188,-218,1084
-232,-210,1228
-237,-222,1470
-227,-237,1701
-179,-216,1941
-134,-244,2085
-161,-282,2207
-352,-225,2297
-274,-203,2385
-269,-167,2482
-174,-141,2566
-483,-154,2660
-110,-252,2766
-49,-251,2685
-39,-286,2567
-104,-286,2425
-158,-278,2236
-198,-131,2030
-200,-220,1857
-185,-225,1748
-184,-240,1585
-187,-256,1425
-163,-266,1253
-144,-236,1104
-164,-203,939
-203,-164,746
-233,-1,545


-,-,-
89,-71,954
-71,-167,818
56,-120,785
47,-134,701
28,-139,599
0,-150,566
-1,-170,542
-46,-197,533
-11,-175,498
-18,-197,489
20,-203,486
43,-236,467
51,-248,454
32,-282,459
37,-334,467
-29,-332,510
-103,-350,550
-154,-337,609
-172,-288,709
-129,-241,868
-55,-253,990
28,-242,1126
37,-199,1243
1,-147,1339
-38,-93,1411
