-,-,-
-44,-138,820
-203,-258,238
-31,-255,348
4,-354,463
17,-420,550
59,-404,658
-55,-335,761
-20,-297,892
48,-296,1072
68,-291,1290
93,-268,1495
130,-243,1660
189,-303,1898
249,-391,2202
267,-458,2416
251,-464,2490
248,-394,2488
149,-326,2436
203,-316,2465
216,-306,2460
191,-317,2477
183,-347,2509
168,-367,2511
150,-389,2456
120,-391,2350
95,-393,2246
67,-396,2095
35,-391,1951
10,-384,1813
-4,-381,1713
-5,-360,1580
-5,-343,1440
-16,-328,1298
-33,-322,1137
-22,-295,1010
-43,-241,865
-61,-195,738
-77,-180,628
-90,-144,540


-,-,-
282,-362,1803
59,-522,1843
86,-534,1874
117,-538,1862
161,-503,1828
142,-447,1811
126,-379,1781
129,-321,1761
162,-347,1783
167,-368,1798
118,-350,1747
61,-321,1724
64,-300,1738
107,-268,1747
149,-285,1780
160,-306,1832
174,-308,1852
189,-310,1800
170,-262,1746
193,-225,1693
152,-207,1640
157,-210,1609
159,-218,1598
179,-230,1559
129,-239,1556
122,-285,1565
140,-292,1502
138,-285,1437
109,-304,1364
65,-308,1285
42,-300,1211
27,-306,1151
45,-287,1106
79,-257,1041
91,-236,977
93,-225,887
78,-189,810
70,-143,712
38,-118,647
11,-112,597
6,-103,545
0,-104,517
-17,-91,298
14,-91,240
36,-87,200
47,-62,165
45,-55,157
24,-65,173
0,-56,175


-,-,-
36,272,999
-28,142,515
6,-126,550
25,-87,445
66,-88,415
53,-173,437
28,-189,419
16,-199,360
21,-185,303
26,-199,276
26,-252,275
-14,-288,284
-46,-319,284
-51,-332,291
-37,-326,297
-40,-314,341
-120,-301,412
-148,-267,492
-87,-328,691
38,-337,894
76,-327,1022
90,-278,1178
135,-233,1308
168,-151,1484
236,-143,1717
290,-148,1903
332,-168,2112
292,-165,2284
382,-191,2464
182,-151,2531
335,-218,2660
320,-216,2736
302,-232,2753
274,-223,2689
265,-200,2616
270,-205,2525
254,-259,2427
221,-280,2268
156,-301,2004
78,-345,1967
7,-399,1821
-23,-411,1673
-30,-405,1482
-29,-351,1341
-13,-318,1193
-11,-303,1056
-30,-277,914
-46,-234,815
-47,-204,683
-51,-162,561
